userid,category,placeid,local_datetime,latitude,longitude,country_name,state_name
49061,Nightlife,1223213,2010-10-09 02:46:23+00:00,44.9482203856,-93.297239542,United States,Minnesota
212715,Nightlife,1223213,2010-07-15 19:26:58+00:00,44.9482203856,-93.297239542,United States,Minnesota
214386,Nightlife,1223213,2010-09-02 00:06:17+00:00,44.9482203856,-93.297239542,United States,Minnesota
214386,Nightlife,1223213,2010-09-01 23:14:06+00:00,44.9482203856,-93.297239542,United States,Minnesota
214386,Nightlife,1223213,2010-06-17 17:54:26+00:00,44.9482203856,-93.297239542,United States,Minnesota
29134,Nightlife,1223213,2010-07-17 19:12:21+00:00,44.9482203856,-93.297239542,United States,Minnesota
5333,Nightlife,1223213,2010-12-21 18:53:52+00:00,44.9482203856,-93.297239542,United States,Minnesota
5333,Nightlife,1223213,2010-10-15 23:29:49+00:00,44.9482203856,-93.297239542,United States,Minnesota
5333,Nightlife,1223213,2010-09-19 23:35:39+00:00,44.9482203856,-93.297239542,United States,Minnesota
5333,Nightlife,1223213,2010-07-11 20:30:33+00:00,44.9482203856,-93.297239542,United States,Minnesota
4970,Nightlife,1223213,2010-09-19 23:41:30+00:00,44.9482203856,-93.297239542,United States,Minnesota
4970,Nightlife,1223213,2010-07-26 01:49:24+00:00,44.9482203856,-93.297239542,United States,Minnesota
4970,Nightlife,1223213,2010-07-11 20:47:56+00:00,44.9482203856,-93.297239542,United States,Minnesota
4970,Nightlife,1223213,2010-06-17 20:52:52+00:00,44.9482203856,-93.297239542,United States,Minnesota
4970,Nightlife,1223213,2010-06-14 22:32:35+00:00,44.9482203856,-93.297239542,United States,Minnesota
51367,Nightlife,1223213,2010-08-01 15:15:31+00:00,44.9482203856,-93.297239542,United States,Minnesota
45578,Nightlife,1223213,2011-05-12 02:48:08+00:00,44.9482203856,-93.297239542,United States,Minnesota
45578,Nightlife,1223213,2010-06-15 17:07:56+00:00,44.9482203856,-93.297239542,United States,Minnesota
120,Nightlife,1223213,2010-09-11 02:52:50+00:00,44.9482203856,-93.297239542,United States,Minnesota
120,Nightlife,1223213,2010-09-10 19:34:52+00:00,44.9482203856,-93.297239542,United States,Minnesota
8624,Nightlife,658143,2011-06-26 05:59:27+00:00,45.0072948833,-93.2616694167,United States,Minnesota
49061,Nightlife,658143,2011-06-26 06:06:37+00:00,45.0072948833,-93.2616694167,United States,Minnesota
49061,Nightlife,658143,2011-03-19 04:11:42+00:00,45.0072948833,-93.2616694167,United States,Minnesota
8624,Nightlife,52401,2011-06-26 04:12:21+00:00,45.0029499,-93.2618066667,United States,Minnesota
49061,Nightlife,52401,2011-06-26 04:10:52+00:00,45.0029499,-93.2618066667,United States,Minnesota
49061,Nightlife,52401,2011-03-19 05:44:47+00:00,45.0029499,-93.2618066667,United States,Minnesota
8624,Nightlife,99066,2011-06-17 22:16:19+00:00,44.974052623,-93.2745292783,United States,Minnesota
8624,Nightlife,99066,2011-04-20 18:29:12+00:00,44.974052623,-93.2745292783,United States,Minnesota
8624,Nightlife,99066,2011-04-15 23:54:38+00:00,44.974052623,-93.2745292783,United States,Minnesota
8624,Nightlife,99066,2011-03-30 01:07:23+00:00,44.974052623,-93.2745292783,United States,Minnesota
8624,Nightlife,99066,2010-10-30 00:10:43+00:00,44.974052623,-93.2745292783,United States,Minnesota
45852,Nightlife,99066,2010-04-26 01:22:21+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-06-28 18:53:58+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-06-10 17:11:48+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-05-27 17:42:43+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-05-20 22:54:24+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-04-15 23:54:28+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-04-07 23:28:28+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-04-06 23:08:10+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-03-20 03:35:45+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-03-18 17:16:38+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-03-16 22:56:17+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-02-19 18:22:16+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-02-12 00:39:51+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-02-05 00:08:25+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-02-04 01:32:26+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2011-01-16 18:48:59+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2010-12-11 02:17:23+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2010-10-30 00:12:53+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2010-08-01 04:56:14+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2010-06-26 01:15:37+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2010-01-05 23:19:42+00:00,44.974052623,-93.2745292783,United States,Minnesota
49061,Nightlife,99066,2009-12-09 05:33:18+00:00,44.974052623,-93.2745292783,United States,Minnesota
212715,Nightlife,99066,2011-05-15 01:09:19+00:00,44.974052623,-93.2745292783,United States,Minnesota
214386,Nightlife,99066,2011-05-15 01:04:46+00:00,44.974052623,-93.2745292783,United States,Minnesota
214386,Nightlife,99066,2010-06-19 00:45:21+00:00,44.974052623,-93.2745292783,United States,Minnesota
228688,Nightlife,99066,2011-05-08 23:13:42+00:00,44.974052623,-93.2745292783,United States,Minnesota
28279,Nightlife,99066,2011-04-30 01:33:39+00:00,44.974052623,-93.2745292783,United States,Minnesota
28279,Nightlife,99066,2011-01-30 02:46:05+00:00,44.974052623,-93.2745292783,United States,Minnesota
28279,Nightlife,99066,2010-12-20 02:50:02+00:00,44.974052623,-93.2745292783,United States,Minnesota
28279,Nightlife,99066,2010-11-14 04:54:58+00:00,44.974052623,-93.2745292783,United States,Minnesota
29134,Nightlife,99066,2010-11-14 05:11:14+00:00,44.974052623,-93.2745292783,United States,Minnesota
29134,Nightlife,99066,2010-05-01 17:52:30+00:00,44.974052623,-93.2745292783,United States,Minnesota
29134,Nightlife,99066,2010-04-26 01:21:10+00:00,44.974052623,-93.2745292783,United States,Minnesota
5333,Nightlife,99066,2010-06-10 00:33:07+00:00,44.974052623,-93.2745292783,United States,Minnesota
5333,Nightlife,99066,2010-06-01 21:36:40+00:00,44.974052623,-93.2745292783,United States,Minnesota
4970,Nightlife,99066,2010-06-02 19:19:32+00:00,44.974052623,-93.2745292783,United States,Minnesota
4970,Nightlife,99066,2010-06-01 21:36:25+00:00,44.974052623,-93.2745292783,United States,Minnesota
8624,Nightlife,161193,2011-06-12 19:07:41+00:00,44.9487253369,-93.288012743,United States,Minnesota
27211,Nightlife,161193,2010-06-19 03:55:18+00:00,44.9487253369,-93.288012743,United States,Minnesota
49061,Nightlife,161193,2011-02-06 02:42:46+00:00,44.9487253369,-93.288012743,United States,Minnesota
49061,Nightlife,161193,2010-12-17 08:12:43+00:00,44.9487253369,-93.288012743,United States,Minnesota
214386,Nightlife,161193,2010-06-17 23:31:02+00:00,44.9487253369,-93.288012743,United States,Minnesota
214386,Nightlife,161193,2010-06-17 23:22:05+00:00,44.9487253369,-93.288012743,United States,Minnesota
28279,Nightlife,161193,2010-09-02 03:05:41+00:00,44.9487253369,-93.288012743,United States,Minnesota
142900,Nightlife,161193,2010-09-10 19:21:24+00:00,44.9487253369,-93.288012743,United States,Minnesota
4970,Nightlife,161193,2010-06-09 00:10:59+00:00,44.9487253369,-93.288012743,United States,Minnesota
98863,Nightlife,161193,2010-05-15 23:50:46+00:00,44.9487253369,-93.288012743,United States,Minnesota
98863,Nightlife,161193,2010-04-17 20:21:58+00:00,44.9487253369,-93.288012743,United States,Minnesota
51367,Nightlife,161193,2010-08-28 23:28:46+00:00,44.9487253369,-93.288012743,United States,Minnesota
533055,Nightlife,161193,2010-11-10 19:12:22+00:00,44.9487253369,-93.288012743,United States,Minnesota
8624,Nightlife,183964,2011-06-11 05:45:43+00:00,44.9559460338,-93.288141489,United States,Minnesota
49061,Nightlife,183964,2011-06-11 04:39:41+00:00,44.9559460338,-93.288141489,United States,Minnesota
49061,Nightlife,183964,2011-06-04 02:55:52+00:00,44.9559460338,-93.288141489,United States,Minnesota
49061,Nightlife,183964,2011-05-14 04:12:52+00:00,44.9559460338,-93.288141489,United States,Minnesota
49061,Nightlife,183964,2011-02-27 04:48:15+00:00,44.9559460338,-93.288141489,United States,Minnesota
49061,Nightlife,183964,2010-10-26 23:17:23+00:00,44.9559460338,-93.288141489,United States,Minnesota
49061,Nightlife,183964,2010-07-11 04:26:17+00:00,44.9559460338,-93.288141489,United States,Minnesota
49061,Nightlife,183964,2010-06-26 05:45:11+00:00,44.9559460338,-93.288141489,United States,Minnesota
49061,Nightlife,183964,2010-06-05 06:25:51+00:00,44.9559460338,-93.288141489,United States,Minnesota
49061,Nightlife,183964,2010-05-22 02:44:15+00:00,44.9559460338,-93.288141489,United States,Minnesota
49061,Nightlife,183964,2010-04-25 06:23:45+00:00,44.9559460338,-93.288141489,United States,Minnesota
142900,Nightlife,183964,2010-06-07 06:05:30+00:00,44.9559460338,-93.288141489,United States,Minnesota
4970,Nightlife,183964,2010-06-06 00:18:42+00:00,44.9559460338,-93.288141489,United States,Minnesota
4970,Nightlife,183964,2010-05-28 01:21:56+00:00,44.9559460338,-93.288141489,United States,Minnesota
4970,Nightlife,183964,2010-03-06 02:09:45+00:00,44.9559460338,-93.288141489,United States,Minnesota
45578,Nightlife,183964,2011-01-20 23:19:53+00:00,44.9559460338,-93.288141489,United States,Minnesota
45578,Nightlife,183964,2010-05-15 01:25:44+00:00,44.9559460338,-93.288141489,United States,Minnesota
2080407,Nightlife,183964,2010-11-10 20:55:02+00:00,44.9559460338,-93.288141489,United States,Minnesota
12122,Nightlife,183964,2010-11-10 22:42:23+00:00,44.9559460338,-93.288141489,United States,Minnesota
12122,Nightlife,183964,2010-06-04 17:05:24+00:00,44.9559460338,-93.288141489,United States,Minnesota
8624,Nightlife,287981,2011-06-04 06:33:03+00:00,44.9554221652,-93.2881951332,United States,Minnesota
8624,Nightlife,287981,2011-05-30 22:23:38+00:00,44.9554221652,-93.2881951332,United States,Minnesota
49061,Nightlife,287981,2011-05-14 05:10:38+00:00,44.9554221652,-93.2881951332,United States,Minnesota
49061,Nightlife,287981,2011-03-13 05:32:59+00:00,44.9554221652,-93.2881951332,United States,Minnesota
49061,Nightlife,287981,2010-07-11 06:21:01+00:00,44.9554221652,-93.2881951332,United States,Minnesota
49061,Nightlife,287981,2010-04-25 04:31:07+00:00,44.9554221652,-93.2881951332,United States,Minnesota
49061,Nightlife,287981,2010-02-20 05:14:38+00:00,44.9554221652,-93.2881951332,United States,Minnesota
142900,Nightlife,287981,2011-03-26 22:47:06+00:00,44.9554221652,-93.2881951332,United States,Minnesota
4970,Nightlife,287981,2010-06-06 00:17:50+00:00,44.9554221652,-93.2881951332,United States,Minnesota
4970,Nightlife,287981,2010-05-28 02:38:35+00:00,44.9554221652,-93.2881951332,United States,Minnesota
8624,Nightlife,81190,2011-04-22 01:55:57+00:00,44.9809244,-93.27321195,United States,Minnesota
49061,Nightlife,81190,2010-05-23 04:01:17+00:00,44.9809244,-93.27321195,United States,Minnesota
212715,Nightlife,81190,2010-06-05 23:43:50+00:00,44.9809244,-93.27321195,United States,Minnesota
59394,Nightlife,81190,2009-12-16 22:51:31+00:00,44.9809244,-93.27321195,United States,Minnesota
8624,Nightlife,183949,2011-04-17 03:55:13+00:00,44.9482469621,-93.2879805565,United States,Minnesota
49061,Nightlife,183949,2011-04-17 04:09:31+00:00,44.9482469621,-93.2879805565,United States,Minnesota
49061,Nightlife,183949,2010-05-25 01:54:47+00:00,44.9482469621,-93.2879805565,United States,Minnesota
49061,Nightlife,183949,2010-05-18 00:47:08+00:00,44.9482469621,-93.2879805565,United States,Minnesota
49061,Nightlife,183949,2010-05-11 00:41:48+00:00,44.9482469621,-93.2879805565,United States,Minnesota
49061,Nightlife,183949,2010-05-06 03:12:42+00:00,44.9482469621,-93.2879805565,United States,Minnesota
212715,Nightlife,183949,2010-06-11 03:55:45+00:00,44.9482469621,-93.2879805565,United States,Minnesota
214386,Nightlife,183949,2010-06-17 23:19:38+00:00,44.9482469621,-93.2879805565,United States,Minnesota
142900,Nightlife,183949,2010-12-17 02:50:21+00:00,44.9482469621,-93.2879805565,United States,Minnesota
142900,Nightlife,183949,2010-10-16 05:16:03+00:00,44.9482469621,-93.2879805565,United States,Minnesota
142900,Nightlife,183949,2010-08-06 06:27:09+00:00,44.9482469621,-93.2879805565,United States,Minnesota
142900,Nightlife,183949,2010-05-17 00:04:11+00:00,44.9482469621,-93.2879805565,United States,Minnesota
142900,Nightlife,183949,2010-03-12 05:14:04+00:00,44.9482469621,-93.2879805565,United States,Minnesota
5333,Nightlife,183949,2010-02-27 05:51:16+00:00,44.9482469621,-93.2879805565,United States,Minnesota
4970,Nightlife,183949,2010-02-27 04:34:02+00:00,44.9482469621,-93.2879805565,United States,Minnesota
533055,Nightlife,183949,2011-04-16 02:16:42+00:00,44.9482469621,-93.2879805565,United States,Minnesota
533055,Nightlife,183949,2010-11-10 19:11:55+00:00,44.9482469621,-93.2879805565,United States,Minnesota
133565,Nightlife,183949,2010-03-06 04:46:01+00:00,44.9482469621,-93.2879805565,United States,Minnesota
8624,Nightlife,102807,2011-04-17 03:23:58+00:00,44.9479749513,-93.2882312926,United States,Minnesota
49061,Nightlife,102807,2011-04-17 03:25:00+00:00,44.9479749513,-93.2882312926,United States,Minnesota
49061,Nightlife,102807,2010-11-07 04:47:21+00:00,44.9479749513,-93.2882312926,United States,Minnesota
214386,Nightlife,102807,2010-06-17 23:20:29+00:00,44.9479749513,-93.2882312926,United States,Minnesota
142900,Nightlife,102807,2011-04-21 06:02:18+00:00,44.9479749513,-93.2882312926,United States,Minnesota
142900,Nightlife,102807,2011-03-26 19:27:53+00:00,44.9479749513,-93.2882312926,United States,Minnesota
142900,Nightlife,102807,2010-09-24 06:13:34+00:00,44.9479749513,-93.2882312926,United States,Minnesota
533055,Nightlife,102807,2011-04-16 02:19:01+00:00,44.9479749513,-93.2882312926,United States,Minnesota
8624,Nightlife,548909,2011-03-26 18:53:52+00:00,44.9050801065,-93.3086771707,United States,Minnesota
533055,Nightlife,548909,2011-04-24 16:15:09+00:00,44.9050801065,-93.3086771707,United States,Minnesota
8624,Nightlife,220244,2010-11-02 18:21:40+00:00,44.9741645735,-93.2747626305,United States,Minnesota
45852,Nightlife,220244,2010-01-07 00:18:20+00:00,44.9741645735,-93.2747626305,United States,Minnesota
154440,Nightlife,220244,2010-10-29 23:25:49+00:00,44.9741645735,-93.2747626305,United States,Minnesota
49061,Nightlife,220244,2011-06-10 23:32:16+00:00,44.9741645735,-93.2747626305,United States,Minnesota
49061,Nightlife,220244,2011-06-09 23:13:21+00:00,44.9741645735,-93.2747626305,United States,Minnesota
49061,Nightlife,220244,2011-04-15 01:28:15+00:00,44.9741645735,-93.2747626305,United States,Minnesota
49061,Nightlife,220244,2011-04-08 18:16:54+00:00,44.9741645735,-93.2747626305,United States,Minnesota
49061,Nightlife,220244,2011-03-20 02:35:06+00:00,44.9741645735,-93.2747626305,United States,Minnesota
49061,Nightlife,220244,2010-11-12 01:40:50+00:00,44.9741645735,-93.2747626305,United States,Minnesota
49061,Nightlife,220244,2010-11-02 18:15:33+00:00,44.9741645735,-93.2747626305,United States,Minnesota
49061,Nightlife,220244,2010-09-25 01:11:53+00:00,44.9741645735,-93.2747626305,United States,Minnesota
43196,Nightlife,220244,2010-09-07 17:01:14+00:00,44.9741645735,-93.2747626305,United States,Minnesota
120,Nightlife,220244,2010-09-10 16:55:04+00:00,44.9741645735,-93.2747626305,United States,Minnesota
27211,Nightlife,183119,2011-04-24 21:57:17+00:00,44.9796897201,-93.2752239704,United States,Minnesota
49061,Nightlife,183119,2011-06-10 03:24:22+00:00,44.9796897201,-93.2752239704,United States,Minnesota
49061,Nightlife,183119,2010-03-24 17:40:17+00:00,44.9796897201,-93.2752239704,United States,Minnesota
214386,Nightlife,183119,2010-06-17 17:10:09+00:00,44.9796897201,-93.2752239704,United States,Minnesota
43196,Nightlife,183119,2011-03-16 18:53:47+00:00,44.9796897201,-93.2752239704,United States,Minnesota
28279,Nightlife,183119,2010-10-03 20:37:09+00:00,44.9796897201,-93.2752239704,United States,Minnesota
2320258,Nightlife,183119,2011-04-24 22:01:08+00:00,44.9796897201,-93.2752239704,United States,Minnesota
2080407,Nightlife,183119,2010-12-04 20:11:05+00:00,44.9796897201,-93.2752239704,United States,Minnesota
133565,Nightlife,183119,2010-09-07 23:40:23+00:00,44.9796897201,-93.2752239704,United States,Minnesota
117848,Nightlife,183119,2010-03-28 19:38:02+00:00,44.9796897201,-93.2752239704,United States,Minnesota
117848,Nightlife,183119,2010-02-28 03:19:32+00:00,44.9796897201,-93.2752239704,United States,Minnesota
12122,Nightlife,183119,2010-07-30 23:12:46+00:00,44.9796897201,-93.2752239704,United States,Minnesota
27211,Nightlife,988515,2011-04-22 23:24:44+00:00,44.9816552689,-93.2790219784,United States,Minnesota
49061,Nightlife,988515,2010-10-08 01:44:24+00:00,44.9816552689,-93.2790219784,United States,Minnesota
212715,Nightlife,988515,2010-07-25 15:24:12+00:00,44.9816552689,-93.2790219784,United States,Minnesota
12122,Nightlife,988515,2010-07-31 02:22:28+00:00,44.9816552689,-93.2790219784,United States,Minnesota
27211,Nightlife,120934,2010-04-16 18:27:11+00:00,44.9749842717,-93.2528758049,United States,Minnesota
45852,Nightlife,120934,2010-09-27 23:30:55+00:00,44.9749842717,-93.2528758049,United States,Minnesota
45852,Nightlife,120934,2010-04-15 21:00:29+00:00,44.9749842717,-93.2528758049,United States,Minnesota
49061,Nightlife,120934,2010-10-02 16:59:25+00:00,44.9749842717,-93.2528758049,United States,Minnesota
28279,Nightlife,120934,2010-03-27 23:42:59+00:00,44.9749842717,-93.2528758049,United States,Minnesota
142900,Nightlife,120934,2010-10-01 19:17:49+00:00,44.9749842717,-93.2528758049,United States,Minnesota
142900,Nightlife,120934,2010-09-29 04:01:27+00:00,44.9749842717,-93.2528758049,United States,Minnesota
149777,Nightlife,120934,2010-04-16 21:51:31+00:00,44.9749842717,-93.2528758049,United States,Minnesota
29134,Nightlife,120934,2010-09-27 23:33:14+00:00,44.9749842717,-93.2528758049,United States,Minnesota
29134,Nightlife,120934,2010-04-15 21:20:30+00:00,44.9749842717,-93.2528758049,United States,Minnesota
51367,Nightlife,120934,2010-03-26 17:25:58+00:00,44.9749842717,-93.2528758049,United States,Minnesota
51367,Nightlife,120934,2009-12-31 18:11:38+00:00,44.9749842717,-93.2528758049,United States,Minnesota
51367,Nightlife,120934,2009-12-23 17:39:15+00:00,44.9749842717,-93.2528758049,United States,Minnesota
51367,Nightlife,120934,2009-12-18 18:35:55+00:00,44.9749842717,-93.2528758049,United States,Minnesota
533055,Nightlife,120934,2010-11-07 17:10:49+00:00,44.9749842717,-93.2528758049,United States,Minnesota
2080407,Nightlife,120934,2010-10-30 17:27:45+00:00,44.9749842717,-93.2528758049,United States,Minnesota
56945,Nightlife,225949,2010-10-24 01:12:46+00:00,44.9847222112,-93.2717329136,United States,Minnesota
362804,Nightlife,225949,2010-07-27 00:04:37+00:00,44.9847222112,-93.2717329136,United States,Minnesota
5333,Nightlife,225949,2010-02-14 03:33:41+00:00,44.9847222112,-93.2717329136,United States,Minnesota
51367,Nightlife,225949,2009-12-18 00:11:54+00:00,44.9847222112,-93.2717329136,United States,Minnesota
56945,Nightlife,306372,2010-06-26 05:18:44+00:00,45.0009922199,-93.262912631,United States,Minnesota
49061,Nightlife,306372,2010-10-30 03:49:58+00:00,45.0009922199,-93.262912631,United States,Minnesota
212715,Nightlife,306372,2010-05-12 18:40:05+00:00,45.0009922199,-93.262912631,United States,Minnesota
214386,Nightlife,306372,2010-05-12 18:38:53+00:00,45.0009922199,-93.262912631,United States,Minnesota
142900,Nightlife,306372,2011-01-22 04:51:59+00:00,45.0009922199,-93.262912631,United States,Minnesota
142900,Nightlife,306372,2010-10-29 02:22:10+00:00,45.0009922199,-93.262912631,United States,Minnesota
142900,Nightlife,306372,2010-05-27 03:23:24+00:00,45.0009922199,-93.262912631,United States,Minnesota
142900,Nightlife,306372,2010-05-22 05:42:51+00:00,45.0009922199,-93.262912631,United States,Minnesota
4970,Nightlife,306372,2011-04-03 01:23:58+00:00,45.0009922199,-93.262912631,United States,Minnesota
51367,Nightlife,306372,2010-04-20 20:56:52+00:00,45.0009922199,-93.262912631,United States,Minnesota
56945,Nightlife,207373,2009-12-14 03:28:54+00:00,44.9625108988,-93.2880868698,United States,Minnesota
214386,Nightlife,207373,2010-06-21 00:04:01+00:00,44.9625108988,-93.2880868698,United States,Minnesota
63683,Nightlife,94561,2011-05-20 23:23:26+00:00,44.9786879473,-93.2763504982,United States,Minnesota
45852,Nightlife,94561,2010-11-14 01:07:39+00:00,44.9786879473,-93.2763504982,United States,Minnesota
49061,Nightlife,94561,2011-03-18 01:03:19+00:00,44.9786879473,-93.2763504982,United States,Minnesota
49061,Nightlife,94561,2010-05-23 04:32:19+00:00,44.9786879473,-93.2763504982,United States,Minnesota
212715,Nightlife,94561,2010-05-02 05:57:43+00:00,44.9786879473,-93.2763504982,United States,Minnesota
214386,Nightlife,94561,2010-06-17 17:08:06+00:00,44.9786879473,-93.2763504982,United States,Minnesota
142900,Nightlife,94561,2010-05-15 03:17:43+00:00,44.9786879473,-93.2763504982,United States,Minnesota
29134,Nightlife,94561,2010-11-14 01:03:57+00:00,44.9786879473,-93.2763504982,United States,Minnesota
357612,Nightlife,94561,2011-05-12 03:09:15+00:00,44.9786879473,-93.2763504982,United States,Minnesota
2080407,Nightlife,94561,2010-11-09 02:13:30+00:00,44.9786879473,-93.2763504982,United States,Minnesota
63683,Nightlife,316952,2010-06-12 03:24:32+00:00,45.0132475,-93.2720275,United States,Minnesota
2080407,Nightlife,316952,2011-04-03 02:01:00+00:00,45.0132475,-93.2720275,United States,Minnesota
2080407,Nightlife,316952,2010-10-31 19:40:20+00:00,45.0132475,-93.2720275,United States,Minnesota
63683,Nightlife,659011,2010-06-12 01:10:20+00:00,45.0075550333,-93.2722074167,United States,Minnesota
1337,Nightlife,7205256,2011-05-08 00:58:43+00:00,45.049876439,-93.05003643,United States,Minnesota
28279,Nightlife,7205256,2011-04-09 19:58:48+00:00,45.049876439,-93.05003643,United States,Minnesota
1337,Nightlife,52148,2011-03-26 00:46:49+00:00,44.9673636622,-93.3489632607,United States,Minnesota
116691,Nightlife,52148,2011-06-28 22:09:07+00:00,44.9673636622,-93.3489632607,United States,Minnesota
45852,Nightlife,52148,2010-12-31 03:05:07+00:00,44.9673636622,-93.3489632607,United States,Minnesota
45852,Nightlife,52148,2010-06-22 01:31:06+00:00,44.9673636622,-93.3489632607,United States,Minnesota
45852,Nightlife,52148,2010-04-26 00:10:10+00:00,44.9673636622,-93.3489632607,United States,Minnesota
214386,Nightlife,52148,2011-02-08 01:41:18+00:00,44.9673636622,-93.3489632607,United States,Minnesota
